"otherChangesBeforeSpaceUseChange","maxIgisPerGroupBeforeSpaceChange","groupNumber","changeDate","emdOfChangeShortPeriod","emdOfChange","nDominanceChanges","diffAdultsAndSubAdults","realChange"
0,0,3,2003-02-25,125.710683031536,NA,0,-0.333333333333332,FALSE
1,3,9,2003-05-27,259.711694103172,NA,0,1.80357142857143,FALSE
0,3,9,2003-08-06,351.197314444017,NA,0,0.833333333333336,FALSE
0,2,10,2003-08-27,-12.6976091383741,NA,0,0,FALSE
0,0,23,2003-09-10,52.5429968101999,NA,1,6.75,FALSE
0,0,1,2003-09-23,111.635401789884,NA,0,0,FALSE
0,0,1,2003-09-24,111.088952918385,NA,0,-1.5,FALSE
0,0,11,2003-10-09,445.525281576208,NA,0,-4.8,FALSE
0,2,1,2003-10-09,89.2304026716268,NA,0,-0.833333333333334,FALSE
0,1,3,2003-10-16,193.874854109956,NA,0,0.5,FALSE
0,3,9,2003-10-16,273.985384293135,NA,0,-2.42857142857143,FALSE
0,0,5,2003-12-04,39.5901265544717,NA,1,-5.57142857142857,FALSE
0,1,21,2003-12-10,29.4094327495222,NA,0,-0.80952380952381,FALSE
0,3,10,2004-03-11,1.84913560430988,NA,1,-0.555555555555555,FALSE
0,0,4,2004-04-15,83.9952935072028,NA,0,0,FALSE
0,1,21,2004-05-06,103.102748076813,NA,0,0,FALSE
0,1,10,2004-06-17,9.27586143362899,NA,0,1.83333333333333,FALSE
0,0,5,2004-06-17,16.7823921868552,NA,0,0,FALSE
0,1,10,2004-09-10,32.2468900847609,NA,1,0.714285714285714,FALSE
0,0,5,2004-12-04,48.1983362749728,NA,0,0.428571428571429,FALSE
0,0,5,2004-12-10,48.7132939457237,NA,0,0.305555555555555,FALSE
0,0,23,2004-12-24,100.150806900572,NA,0,-0.714285714285714,FALSE
0,0,11,2005-01-07,282.675332232026,NA,0,-0.666666666666668,FALSE
0,0,9,2005-01-21,1.88435205488197,NA,0,-11.7,FALSE
0,0,23,2005-07-15,365.138808781324,NA,0,-0.666666666666668,FALSE
0,0,15,2005-09-23,86.5317761289864,NA,0,0.714285714285715,FALSE
0,0,5,2005-09-23,121.853027039878,NA,0,-0.111111111111111,FALSE
